CoverageKey,Domain,Area,CoverageStatus,CurrentEvidence,OpenQuestion,Disposition,Priority,SuggestedOwner,VersionPlatform,PrimarySource
"DATABASE_CONFIGURATION","ENGINE","Database options scoped configuration and Query Store settings","IMPLEMENTED_DEEP","USP_DatabaseConfigurationAnalysis","Profiles remain explicit and local majority is not policy","KEEP","P1","USP_DatabaseConfigurationAnalysis","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/t-sql/statements/alter-database-scoped-configuration-transact-sql?view=sql-server-ver17"
"TEMPDB_CONFIGURATION","ENGINE","TempDB files allocation and configuration","IMPLEMENTED_DEEP","USP_TempDBConfiguration and USP_CurrentTempDB","TempDB ADR and PVS are tracked separately","KEEP","P1","Existing TempDB modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/databases/tempdb-database?view=sql-server-ver17"
"RESOURCE_GOVERNOR","ENGINE","Resource pools workload groups and TempDB governance","IMPLEMENTED_DEEP","USP_ResourceGovernorAnalysis and SQL25-003","External workload intent remains operator context","KEEP","P2","USP_ResourceGovernorAnalysis","Edition and version adaptive","https://learn.microsoft.com/en-us/sql/relational-databases/resource-governor/resource-governor?view=sql-server-ver17"
"INTERNAL_CONTENTION","ENGINE","Latches spinlocks hot pages and internal contention","IMPLEMENTED_DEEP","USP_InternalContentionAnalysis","Low-level stacks remain support-only evidence","KEEP","P1","USP_InternalContentionAnalysis","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-objects/sql-server-operating-system-related-dynamic-management-views-transact-sql?view=sql-server-ver17"
"DATABASE_PORTABILITY","ENGINE","Persisted SKU and uncontained dependency portability","PARTIAL_PRODUCT_FUNCTION","USP_DatabasePortabilityAnalysis and OPS-006 runtime slice","A positive persisted-SKU case and unsupported-source evidence remain","COMPLETE_EXISTING","P2","OPS-006","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-objects/sys-dm-db-persisted-sku-features-transact-sql?view=sql-server-ver17"
"COLLATION_BOUNDARIES","ENGINE","Server tempdb database parser and TABLE collation boundaries","PARTIAL_PRODUCT_FUNCTION","COLL-001 inventory and first hardened slices","Complete per-file hardening and mixed-collation native matrix","COMPLETE_EXISTING","P1","COLL-001","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/collations/collation-and-unicode-support?view=sql-server-ver17"
"SYSTEM_DATABASE_OBJECTS","ENGINE","User objects in master model and msdb","PARTIAL_PRODUCT_FUNCTION","USP_SystemDatabaseObjectInventory","Empty and partial-visibility evidence remain","COMPLETE_EXISTING","P3","OPS-009","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/databases/system-databases?view=sql-server-ver17"
"DATABASE_SNAPSHOTS","ENGINE","Database snapshot age dependency space and suspect state","RESEARCHED_NOT_IMPLEMENTED","Database inventory can expose snapshot databases only indirectly","Inventory source relationships sparse-file growth and operational limits without mutation","DOSSIER_CANDIDATE","P2","USP_DatabaseCapacityAnalysis or dedicated module","Edition dependent SQL Server","https://learn.microsoft.com/en-us/sql/relational-databases/databases/database-snapshots-sql-server?view=sql-server-ver17"
"SESSIONS_CONNECTIONS","CURRENT_STATE","Sessions connections and request context","IMPLEMENTED_DEEP","USP_CurrentSessions and canonical request-context snapshot","Network client internals remain privacy constrained","KEEP","P0","USP_CurrentSessions","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-exec-sessions-transact-sql?view=sql-server-ver17"
"CURRENT_REQUESTS","CURRENT_STATE","Current requests statements waits and execution context","IMPLEMENTED_DEEP","USP_CurrentRequests","A snapshot is not historical proof","KEEP","P0","USP_CurrentRequests","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-exec-requests-transact-sql?view=sql-server-ver17"
"BLOCKING_DEADLOCKS","CURRENT_STATE","Blocking chains deadlocks and blocked-process history","IMPLEMENTED_DEEP","USP_CurrentBlocking and Extended Events analyzers","External client retry behavior remains outside engine evidence","KEEP","P0","Existing current-state and XE modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/sql-server-deadlocks-guide?view=sql-server-ver17"
"CURSOR_RUNTIME","CURRENT_STATE","Active and dormant cursor resource evidence","PARTIAL_PRODUCT_FUNCTION","USP_CurrentCursorAnalysis","Dormant foreign high-cost and dedicated denied evidence remain","COMPLETE_EXISTING","P3","OPS-007","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-objects/sys-dm-exec-cursors-transact-sql?view=sql-server-ver17"
"TRANSACTIONS_LOCKS","CURRENT_STATE","Transactions isolation and lock ownership","IMPLEMENTED_DEEP","USP_CurrentTransactions USP_CurrentBlocking and USP_CurrentLog","Distributed-transaction coordination is separate","KEEP","P1","Existing current-state modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/sql-server-transaction-locking-and-row-versioning-guide?view=sql-server-ver17"
"WAIT_ANALYSIS","CURRENT_STATE","Current and cumulative waits with curated semantics","IMPLEMENTED_DEEP","USP_CurrentWaits and WaitTypeCatalog","New wait types require catalog maintenance","KEEP","P0","USP_CurrentWaits","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-os-wait-stats-transact-sql?view=sql-server-ver17"
"IO_RUNTIME","CURRENT_STATE","File I/O and pending I/O correlation","IMPLEMENTED_DEEP","USP_CurrentIO and OPS-003","Host storage path remains external evidence","KEEP","P1","USP_CurrentIO","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-objects/sys-dm-io-pending-io-requests-transact-sql?view=sql-server-ver17"
"MEMORY_GRANTS","CURRENT_STATE","Memory grants queueing and semaphore pressure","IMPLEMENTED_DEEP","USP_CurrentMemoryGrants and USP_CurrentOverview","Historical recurrence needs snapshot expansion","KEEP","P1","USP_CurrentMemoryGrants","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-exec-query-memory-grants-transact-sql?view=sql-server-ver17"
"WORKER_SCHEDULER_PRESSURE","CURRENT_STATE","Worker exhaustion scheduler queues and THREADPOOL","IMPLEMENTED_DEEP","USP_WorkerPressureAnalysis and OPS-002","Container CPU quotas need platform correlation","KEEP","P1","USP_WorkerPressureAnalysis","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-os-schedulers-transact-sql?view=sql-server-ver17"
"PERFORMANCE_COUNTERS","CURRENT_STATE","Typed SQL performance counters and reset-safe samples","IMPLEMENTED_DEEP","USP_PerformanceCounters","Broader persistent trends remain SC-023 expansion","KEEP","P1","USP_PerformanceCounters","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/performance-monitor/use-sql-server-objects?view=sql-server-ver17"
"QUERY_STATS_HASH","QUERY_PERFORMANCE","Query statistics and query-hash aggregation","IMPLEMENTED_DEEP","USP_QueryStats and USP_QueryHashAnalysis","Cross-instance identity is intentionally not persisted","KEEP","P1","Existing PlanCache modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-exec-query-stats-transact-sql?view=sql-server-ver17"
"PLAN_CACHE_HEALTH","QUERY_PERFORMANCE","Plan cache health details and bloat","IMPLEMENTED_DEEP","USP_PlanCacheHealth USP_PlanCacheAnalysis and USP_PlanDetails","Cache snapshots remain volatile","KEEP","P1","Existing PlanCache modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-exec-cached-plans-transact-sql?view=sql-server-ver17"
"EXECUTION_PLAN_ANALYSIS","QUERY_PERFORMANCE","Standalone and live execution-plan diagnostics","IMPLEMENTED_DEEP","USP_ExecutionPlanAnalysis USP_ShowplanAnalysis and evidence JSON","Actual runtime coverage depends on supplied evidence","KEEP","P1","Existing plan modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/performance/execution-plans?view=sql-server-ver17"
"QUERY_STORE","QUERY_PERFORMANCE","Query Store status runtime waits plans forcing hints and replicas","IMPLEMENTED_DEEP","Ten Query Store procedures including replica analysis","Retention and capture configuration remain contextual","KEEP","P1","Existing Query Store modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/performance/monitoring-performance-by-using-the-query-store?view=sql-server-ver17"
"INTELLIGENT_QUERY_PROCESSING","QUERY_PERFORMANCE","IQP feedback PSP OPPO and automatic tuning evidence","IMPLEMENTED_DEEP","USP_IntelligentQueryProcessingAnalysis","Future feedback families need capability updates","KEEP","P2","USP_IntelligentQueryProcessingAnalysis","Version and compatibility adaptive","https://learn.microsoft.com/en-us/sql/relational-databases/performance/intelligent-query-processing?view=sql-server-ver17"
"STATISTICS_HEALTH","QUERY_PERFORMANCE","Statistics freshness properties distribution and replica origin","IMPLEMENTED_DEEP","USP_Statistics and USP_StatisticsDistributionAnalysis","Sampling semantics and histograms remain bounded","KEEP","P1","Existing statistics modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/statistics/statistics?view=sql-server-ver17"
"ROWSTORE_INDEXES","QUERY_PERFORMANCE","Inventory usage physical operational and missing rowstore indexes","IMPLEMENTED_DEEP","Object and index procedure family","Workload semantics prevent automatic DDL","KEEP","P1","Existing ObjectIndex modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/indexes/indexes?view=sql-server-ver17"
"COLUMNSTORE_ORDERING","QUERY_PERFORMANCE","Columnstore rowgroups and ordered-index diagnostics","RESEARCHED_NOT_IMPLEMENTED","USP_Columnstore covers current baseline","Implement WI-0004 with bounded segment overlap","REGISTERED_ROADMAP","P2","WI-0004","SQL Server 2019-2025","https://learn.microsoft.com/en-us/sql/relational-databases/indexes/columnstore-indexes-what-s-new?view=sql-server-ver17"
"COMPILE_STORMS","QUERY_PERFORMANCE","Compilation pressure and optimized sp_executesql","RESEARCHED_NOT_IMPLEMENTED","Plan cache waits and counters offer indirect evidence","Prove bounded evidence path before implementing WI-0006","REGISTERED_ROADMAP","P2","WI-0006","SQL Server 2025 positive fallback older","https://learn.microsoft.com/en-us/sql/t-sql/statements/alter-database-scoped-configuration-transact-sql?view=sql-server-ver17"
"PLAN_GUIDES","QUERY_PERFORMANCE","Plan guide inventory validity and dependency risk","RESEARCHED_NOT_IMPLEMENTED","No explicit plan-guide result set","Inventory enabled disabled invalid and template guides without reading module text by default","DOSSIER_CANDIDATE","P2","USP_PlanCacheAnalysis or dedicated catalog slice","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/performance/plan-guides?view=sql-server-ver17"
"DEPRECATED_RUNTIME_USE","QUERY_PERFORMANCE","Observed deprecated feature use","RESEARCHED_NOT_IMPLEMENTED","Performance counters and XE can expose evidence but are not correlated","Combine bounded counters or existing XE with target-version context","DOSSIER_CANDIDATE","P2","USP_PerformanceCounters and XE modules","SQL Server 2019-2025","https://learn.microsoft.com/en-us/sql/database-engine/deprecated-database-engine-features-in-sql-server-2025?view=sql-server-ver17"
"TIME_SERIES_BASELINES","QUERY_PERFORMANCE","Persistent reset-safe trends and baselines","PARTIAL_PRODUCT_FUNCTION","SC-023 first performance-counter slice","Implement wait I/O capacity and grant collectors before rollups","COMPLETE_EXISTING","P1","SC-023-EXPANSION","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/performance-monitor/monitor-resource-usage-system-monitor?view=sql-server-ver17"
"DATABASE_CAPACITY","STORAGE_RECOVERY","Database file volume autogrowth and exhaustion risk","IMPLEMENTED_DEEP","USP_DatabaseCapacityAnalysis","Forecast requires compatible history","KEEP","P0","USP_DatabaseCapacityAnalysis","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/databases/database-files-and-filegroups?view=sql-server-ver17"
"LOG_HEALTH_VLF","STORAGE_RECOVERY","Transaction log use VLF state recovery and truncation","IMPLEMENTED_DEEP","USP_CurrentLog and USP_BackupRecovery","External storage throughput remains separate","KEEP","P0","Existing log modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/logs/the-transaction-log-sql-server?view=sql-server-ver17"
"DATABASE_INTEGRITY","STORAGE_RECOVERY","CHECKDB age suspect pages and repair evidence","IMPLEMENTED_DEEP","USP_DatabaseIntegrityAnalysis","Actual CHECKDB remains external execution","KEEP","P0","USP_DatabaseIntegrityAnalysis and SC-025","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/t-sql/database-console-commands/dbcc-checkdb-transact-sql?view=sql-server-ver17"
"BACKUP_CHAIN_RESTORE","STORAGE_RECOVERY","Backup LSN chain checksums damage and restore history","IMPLEMENTED_DEEP","USP_BackupChainAnalysis and USP_BackupRecovery","End-to-end restore proof remains SC-025","KEEP","P0","Existing recovery modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/backup-restore/back-up-and-restore-of-sql-server-databases?view=sql-server-ver17"
"BACKUP_COMPRESSION_ALGORITHM","STORAGE_RECOVERY","Backup algorithm including ZSTD","RESEARCHED_NOT_IMPLEMENTED","General compression state is visible","Implement WI-0003 and distinguish configuration from backupset evidence","REGISTERED_ROADMAP","P2","WI-0003","SQL Server 2025 positive fallback older","https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/view-or-configure-the-backup-compression-algorithm-server-configuration-option?view=sql-server-ver17"
"BACKUP_IMMUTABILITY_SECONDARY","STORAGE_RECOVERY","Immutable URL backup and non-copy-only secondary backup capability","RESEARCHED_NOT_IMPLEMENTED","Backup history and AG role are available separately","Correlate destination class algorithm replica role and support without exposing URLs","DOSSIER_CANDIDATE","P2","USP_BackupRecovery and USP_AvailabilityDeepAnalysis","SQL Server 2025","https://learn.microsoft.com/en-us/sql/sql-server/what-s-new-in-sql-server-2025?view=sql-server-ver17"
"MSDB_RETENTION","STORAGE_RECOVERY","msdb size growth and operational history retention","PARTIAL_PRODUCT_FUNCTION","USP_MsdbHealthAnalysis","Controlled short long growth and missing-source evidence remain","COMPLETE_EXISTING","P2","OPS-008","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/databases/msdb-database?view=sql-server-ver17"
"HYBRID_BUFFER_POOL_PMEM","STORAGE_RECOVERY","Hybrid buffer pool persistent memory and persisted log buffer","RESEARCHED_NOT_IMPLEMENTED","Memory and database configuration show only indirect evidence","Separate configured effective storage capability and restart boundaries","DOSSIER_CANDIDATE","P3","USP_BufferPoolAnalysis and USP_DatabaseConfigurationAnalysis","SQL Server 2019+ Windows and Linux","https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/hybrid-buffer-pool?view=sql-server-ver17"
"FILESTREAM_FILETABLE","STORAGE_RECOVERY","FILESTREAM and FileTable configuration capacity garbage collection and backup interaction","IMPLEMENTED_BASELINE","USP_SpecialFeatureInventory counts objects and filegroups","Deep health and container capacity are not analyzed","DOSSIER_CANDIDATE","P2","USP_DatabaseCapacityAnalysis or dedicated feature module","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/blob/filestream-sql-server?view=sql-server-ver17"
"MAINTENANCE_OPERATIONS","STORAGE_RECOVERY","Resumable index ADR rollback and maintenance activity","IMPLEMENTED_DEEP","USP_MaintenanceOperations","No maintenance mutation is authorized","KEEP","P1","USP_MaintenanceOperations","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/indexes/perform-index-operations-online?view=sql-server-ver17"
"AVAILABILITY_GROUPS","HA_DR","Availability Groups replicas queues seeding routing cluster and repair","IMPLEMENTED_DEEP","USP_AvailabilityGroups and USP_AvailabilityDeepAnalysis","Host-level quorum and external reachability remain separate","KEEP","P0","Existing availability modules","Windows and Linux","https://learn.microsoft.com/en-us/sql/database-engine/availability-groups/windows/overview-of-always-on-availability-groups-sql-server?view=sql-server-ver17"
"LOG_SHIPPING","HA_DR","Log shipping jobs latency thresholds and role state","IMPLEMENTED_DEEP","USP_LogShippingStatus","Remote copy-share reachability remains external","KEEP","P1","USP_LogShippingStatus","Windows and Linux interop","https://learn.microsoft.com/en-us/sql/database-engine/log-shipping/about-log-shipping-sql-server?view=sql-server-ver17"
"REPLICATION","HA_DR","Transactional merge snapshot and peer replication state","IMPLEMENTED_DEEP","USP_ReplicationStatus and USP_DataCaptureDeepAnalysis","Remote distributor gaps remain explicit","KEEP","P1","Existing replication modules","Version and platform adaptive","https://learn.microsoft.com/en-us/sql/relational-databases/replication/sql-server-replication?view=sql-server-ver17"
"DATABASE_MIRRORING","HA_DR","Legacy database mirroring state queue safety witness and migration risk","RESEARCHED_NOT_IMPLEMENTED","Wait catalog and database metadata provide indirect evidence only","Add read-only legacy diagnostics while clearly preferring migration planning","DOSSIER_CANDIDATE","P1","USP_InfrastructureAnalysis or dedicated legacy slice","Windows SQL Server legacy","https://learn.microsoft.com/en-us/sql/database-engine/database-mirroring/monitoring-database-mirroring-sql-server?view=sql-server-ver17"
"FAILOVER_CLUSTER_INSTANCE","HA_DR","Failover Cluster Instance SQL-visible and host state","EXTERNAL_EVIDENCE_REQUIRED","OS and cluster DMVs cover only part of the topology","Define SQL-visible inventory plus optional authorized host evidence","EXTERNAL_COMPONENT","P2","USP_OSInformation plus SC-025 adapter","Windows and Linux clustering differ","https://learn.microsoft.com/en-us/sql/sql-server/failover-clusters/windows/always-on-failover-cluster-instances-sql-server?view=sql-server-ver17"
"DISTRIBUTED_TRANSACTIONS","HA_DR","MSDTC distributed transaction state recovery and availability integration","RESEARCHED_NOT_IMPLEMENTED","Current transactions blocking and wait taxonomy expose fragments","Correlate transaction UOW state service availability and HADR constraints","DOSSIER_CANDIDATE","P1","USP_CurrentTransactions plus platform adapter","Windows primarily and HADR scenarios","https://learn.microsoft.com/en-us/sql/database-engine/availability-groups/windows/transactions-always-on-availability-and-database-mirroring?view=sql-server-ver17"
"LINKED_SERVERS","HA_DR","Linked server inventory provider and opt-in connectivity","PARTIAL_PRODUCT_FUNCTION","USP_LinkedServerAnalysis","Controlled remote success timeout provider and denied evidence remain","COMPLETE_EXISTING","P2","OPS-005","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/system-catalog-views/sys-servers-transact-sql?view=sql-server-ver17"
"SERVICE_BROKER","HA_DR","Service Broker queues activation transmission and conversations","IMPLEMENTED_DEEP","USP_ServiceBrokerAnalysis","Remote route reachability is not proved","KEEP","P2","USP_ServiceBrokerAnalysis","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/sql-server-service-broker?view=sql-server-ver17"
"FLEET_CORRELATION","HA_DR","Multi-instance drift topology and fleet correlation","EXTERNAL_EVIDENCE_REQUIRED","SC-024 interface boundary exists","External transport tenant retention and deletion contract required","EXTERNAL_COMPONENT","P3","SC-024","Multiple instances","https://learn.microsoft.com/en-us/sql/sql-server/what-is-sql-server?view=sql-server-ver17"
"SERVER_SECURITY_CONFIGURATION","SECURITY","Security-sensitive server configuration and services","IMPLEMENTED_BASELINE","USP_ServerSecurityConfiguration","It intentionally excludes login user and permission inventories","KEEP","P1","USP_ServerSecurityConfiguration","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/security/sql-server-security-best-practices?view=sql-server-ver17"
"PRINCIPALS_ROLE_PERMISSIONS","SECURITY","Server and database principals roles ownership and explicit permissions","RESEARCHED_NOT_IMPLEMENTED","No dedicated principal or permission graph","Bound output and redact identities by default while exposing privilege paths and orphaning","DOSSIER_CANDIDATE","P1","New security catalog module","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/security/authentication-access/getting-started-with-database-engine-permissions?view=sql-server-ver17"
"AUTHENTICATION_LOGIN_LIFECYCLE","SECURITY","Authentication mode disabled logins password policy contained users and Entra principals","RESEARCHED_NOT_IMPLEMENTED","Security configuration exposes only selected settings","Separate identity metadata from secret or personal data and handle Entra capability","DOSSIER_CANDIDATE","P1","New security catalog module","Windows Linux Arc and Azure VM variants","https://learn.microsoft.com/en-us/sql/relational-databases/system-catalog-views/sys-server-principals-transact-sql?view=sql-server-ver17"
"TLS_NETWORK_ENDPOINTS","SECURITY","TDS encryption certificates Extended Protection and engine endpoints","RESEARCHED_NOT_IMPLEMENTED","Linked-server and HADR modules expose narrow endpoint context","Combine SQL-visible endpoint and connection encryption evidence with optional host configuration","DOSSIER_CANDIDATE","P1","New security transport module plus host adapter","SQL Server 2019+ TDS 8 on 2022+","https://learn.microsoft.com/en-us/sql/relational-databases/security/networking/connect-with-tls-1-3?view=sql-server-ver17"
"SQL_AUDIT","SECURITY","Audit configuration specification coverage and runtime state","RESEARCHED_NOT_IMPLEMENTED","WI-0008 dossier exists","Implement without reading audit payloads or changing audit objects","REGISTERED_ROADMAP","P1","WI-0008","SQL Server 2019+ edition adaptive","https://learn.microsoft.com/en-us/sql/relational-databases/security/auditing/sql-server-audit-database-engine?view=sql-server-ver17"
"TDE_ALWAYS_ENCRYPTED","SECURITY","TDE certificates backup encryption and Always Encrypted inventory","IMPLEMENTED_DEEP","USP_EncryptionAnalysis","External key backup and client-driver correctness remain external","KEEP","P1","USP_EncryptionAnalysis","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/security/encryption/always-encrypted-database-engine?view=sql-server-ver17"
"RLS_DYNAMIC_MASKING","SECURITY","Row-level security predicates and dynamic data masking","RESEARCHED_NOT_IMPLEMENTED","Schema and special-feature inventories do not provide policy health","Inventory enabled policies predicates masking and dependency boundaries without reading protected data","DOSSIER_CANDIDATE","P1","New database security module","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/security/row-level-security?view=sql-server-ver17"
"SENSITIVITY_CLASSIFICATION","SECURITY","Sensitivity labels and classified-column coverage","RESEARCHED_NOT_IMPLEMENTED","No classification inventory","Expose aggregate classification coverage without column values or personal data","DOSSIER_CANDIDATE","P2","New database security module","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/security/sql-data-discovery-and-classification?view=sql-server-ver17"
"LEDGER_INTEGRITY","SECURITY","Ledger tables digest storage upload and verification evidence","IMPLEMENTED_BASELINE","USP_EncryptionAnalysis reports aggregate Ledger counts","Digest location state upload health and verification evidence are not analyzed","DOSSIER_CANDIDATE","P2","USP_EncryptionAnalysis deep extension","SQL Server 2022+","https://learn.microsoft.com/en-us/sql/relational-databases/security/ledger/ledger-database-verification?view=sql-server-ver17"
"EKM_CREDENTIALS_KEYS","SECURITY","EKM providers credentials and cryptographic lifecycle","RESEARCHED_NOT_IMPLEMENTED","Encryption analysis covers certificates and column keys but not full EKM runtime","Inventory provider state dependencies and expiry without locations secrets or key material","DOSSIER_CANDIDATE","P2","USP_EncryptionAnalysis extension","Edition and platform adaptive","https://learn.microsoft.com/en-us/sql/relational-databases/security/encryption/extensible-key-management-ekm?view=sql-server-ver17"
"MODULE_SIGNING","SECURITY","Module signing and least-privilege execution","EXTERNAL_EVIDENCE_REQUIRED","Framework grants no rights and documents signing as operator decision","Define optional deployment policy and re-signing workflow outside default installer","EXTERNAL_COMPONENT","P2","Deployment package","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/tutorial-signing-stored-procedures-with-a-certificate?view=sql-server-ver17"
"DDL_LOGON_TRIGGERS","SECURITY","Server database DDL and logon trigger surface","RESEARCHED_NOT_IMPLEMENTED","Object inventory does not correlate trigger enablement and execution context","Inventory trigger scope disabled state ownership and rollback risk without definitions by default","DOSSIER_CANDIDATE","P2","USP_SchemaDesignAnalysis or security module","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/relational-databases/triggers/ddl-triggers?view=sql-server-ver17"
