EnhancementId,Priority,Area,Goal,PrimaryObjects,CostClass,ImplementationStatus,AcceptanceSummary
OPS-004,P1,Error log analysis,"Read bounded SQL Server and optional Agent error logs into categories counts time range and partial source status",USP_ErrorLogAnalysis|sys.sp_readerrorlog|SQL Server error log|SQL Server Agent error log,LOW_TO_MEDIUM,IMPLEMENTED_ACTIONS_GATE,"Archive time keyword permission large-log and text-opt-in cases; no log rotation and no default full message output"
SQL25-001,P2,Vector index runtime,"Analyze supported vector index state performance and maintenance evidence beyond capability inventory",USP_VectorIndexAnalysis|USP_ObjectAnalysis|sys.vector_indexes|sys.dm_db_vector_indexes,MEDIUM,IMPLEMENTED_ACTIONS_GATE,"No-feature active maintenance empty denied bounded cross-database named TABLE and orchestrator cases pass with feature detection before reference on SQL Server 2019 2022 and 2025"
SQL25-002,P2,JSON index inventory,"Add supported JSON indexes and paths to existing object and index inventories",USP_ObjectInventory|USP_ObjectAnalysis|USP_ServerFeatureCapabilities|sys.json_indexes|sys.json_index_paths,LOW,IMPLEMENTED_ACTIONS_GATE,"No-feature empty visible restricted-metadata bounded TABLE JSON capability-inventory and orchestrator cases pass; inventory does not imply health and no dedicated procedure was added"
SQL25-003,P2,TempDB resource governance,"Expose workload-group TempDB limits current and peak use and limit violation counts",USP_ResourceGovernorAnalysis|USP_CurrentTempDB|USP_CurrentOverview|sys.resource_governor_workload_groups|sys.dm_resource_governor_workload_groups|master.sys.master_files,LOW_TO_MEDIUM,IMPLEMENTED_ACTIONS_GATE,"2019 2022 unavailable-version plus 2025 no-limit fixed-percent precedence ineffective-percent current peak violation reset restricted-metadata named-TABLE JSON parent-routing and LOCK_TIMEOUT cases; limits use and violations remain distinct"
SQL25-004,P2,Readable secondary statistics,"Preserve replica role and source metadata for statistics created or maintained on readable secondaries",USP_Statistics|sys.stats,LOW_TO_MEDIUM,IMPLEMENTED_ACTIONS_GATE,"2019 2022 unavailable-version; 2025 real catalog plus primary or not-recorded origin; synthetic secondary and partial-role mapping; restricted metadata empty scope bounded TABLE JSON and LOCK_TIMEOUT cases"
SQL25-005,P2,Secondary replica Query Store,"Make Query Store analyses replica-aware instead of detecting sys.query_store_replicas only as a capability",USP_QueryStoreReplicaAnalysis|USP_QueryStoreAnalysis|sys.query_store_replicas|sys.query_store_runtime_stats|sys.query_store_wait_stats|sys.query_store_plan_forcing_locations,MEDIUM,IMPLEMENTED_ACTIONS_GATE,"2019 2022 unavailable-version; 2025 primary secondary named missing-metadata empty disabled unsupported denied partial JSON TABLE orchestrator and lock-timeout cases"
OPS-005,P2,Linked servers,"Inventory visible linked-server configuration providers and waits with optional bounded connectivity test",USP_LinkedServerAnalysis|sys.servers|sp_testlinkedserver,LOW_TO_HIGH,PARTIAL_PRODUCT_FUNCTION,"Core implemented; legacy provider denied timeout and opt-in runtime gates remain; default performs no remote access"
OPS-006,P2,Database portability,"Expose persisted edition features and uncontained dependencies for restore edition change and migration",USP_DatabasePortabilityAnalysis|sys.dm_db_persisted_sku_features|sys.dm_db_uncontained_entities,LOW_TO_MEDIUM,PARTIAL_PRODUCT_FUNCTION,"Core implemented; portable feature-bound unsupported denied and cross-version gates remain; no automatic DDL"
OPS-007,P3,Cursor diagnostics,"Add bounded opt-in current cursor resource and dormancy evidence to session analysis",USP_CurrentCursorAnalysis|sys.dm_exec_cursors,MEDIUM_OPT_IN,PARTIAL_PRODUCT_FUNCTION,"Core implemented; active dormant high-cost denied and session-limit gates remain; cursor existence alone is not a defect"
OPS-008,P2,msdb health and retention,"Analyze size growth and retention of backup restore job mail and maintenance histories",USP_MsdbHealthAnalysis|msdb system tables,LOW_TO_MEDIUM,PARTIAL_PRODUCT_FUNCTION,"Core implemented; retention and denied runtime gates remain; no cleanup is executed"
OPS-009,P3,System database user objects,"Inventory visible user objects in master model and msdb as maintenance and portability evidence",USP_SystemDatabaseObjectInventory|system catalogs,LOW,PARTIAL_PRODUCT_FUNCTION,"Core implemented; synthetic denied and partial-visibility gates remain; no object is dropped moved or altered"
WI-0002,P2,TempDB ADR and PVS,"Distinguish traditional TempDB version store from SQL Server 2025 TempDB persistent version store with explicit size cleanup reset and source evidence",USP_CurrentTempDB|sys.dm_db_file_space_usage|sys.dm_tran_persistent_version_store_stats,LOW_TO_MEDIUM,RESEARCHED_NOT_IMPLEMENTED,"Analysis specification implementation inventory documentation and native 2019 2022 2025 fallback or positive evidence remain; no automatic ADR recommendation"
WI-0003,P2,Backup compression algorithms,"Separate configured backup compression default from the algorithm recorded for individual backups including SQL Server 2025 ZSTD",USP_BackupRecovery|USP_BackupChainAnalysis|USP_ServerConfiguration|msdb.dbo.backupset,LOW,RESEARCHED_NOT_IMPLEMENTED,"Analysis specification implementation named output contracts and native version evidence remain; compression algorithm does not prove restoreability or acceptable CPU cost"
WI-0004,P2,Ordered columnstore diagnostics,"Inventory ordered clustered and nonclustered columnstore indexes and optionally evaluate bounded segment overlap",USP_Columnstore|sys.index_columns|sys.column_store_segments,MEDIUM_OPT_IN,RESEARCHED_NOT_IMPLEMENTED,"Analysis specification implementation version-adaptive schemas bounded deep path and native version evidence remain; partial order is not automatically defective"
WI-0005,P2,Time-bound Extended Events,"Expose SQL Server 2025 Extended Events MAX_DURATION with catalog and runtime state without changing a session",USP_ExtendedEventsSessions|sys.server_event_sessions|sys.dm_xe_sessions,LOW,RESEARCHED_NOT_IMPLEMENTED,"Analysis specification implementation named output contract and native 2019 2022 2025 evidence remain; unlimited duration is contextual"
WI-0006,P2,Optimized sp_executesql,"Correlate OPTIMIZED_SP_EXECUTESQL capability and configuration with bounded compile evidence",USP_DatabaseConfigurationAnalysis|USP_PlanCacheHealth|USP_PerformanceCounters,MEDIUM_OPT_IN,RESEARCHED_NOT_IMPLEMENTED,"Analysis must first prove an adequate compile evidence path before API specification and implementation; configuration state alone produces no finding"
WI-0007,P2,External model inventory,"Add aggregate version-adaptive External Model detection to the special feature inventory",USP_SpecialFeatureInventory|sys.external_models,LOW,RESEARCHED_NOT_IMPLEMENTED,"Analysis specification implementation inventory documentation and native fallback or positive evidence remain; location parameters model names and credentials stay excluded"
WI-0008,P1,SQL Audit configuration,"Analyze visible server and database Audit configuration specification coverage and runtime state without reading Audit payloads",USP_AuditConfigurationAnalysis|sys.server_audits|sys.server_audit_specifications|sys.database_audit_specifications|sys.dm_server_audit_status,LOW_TO_MEDIUM,RESEARCHED_NOT_IMPLEMENTED,"Analysis and public API specification precede implementation; absent disabled partial denied and runtime-state evidence are required and no Audit object is changed"
WI-0009,P2,External data objects,"Analyze local catalogs for external data sources file formats tables and models without default remote access",USP_ExternalDataAnalysis|sys.external_data_sources|sys.external_file_formats|sys.external_tables|sys.external_models,LOW_TO_MEDIUM,RESEARCHED_NOT_IMPLEMENTED,"Analysis must decide detail and privacy boundaries before public API specification; implementation excludes secrets payloads and default connectivity tests"
